,Questionario,Questao,Program 
,Vocal_Abuse_Diary,QUES0136,VOCAL-REHAB
,Vocal_Abuse_Diary,QUES0137,VOCAL-REHAB
,Vocal_Abuse_Diary,QUES0138,VOCAL-REHAB
,Vocal_Abuse_Diary,QUES0139,VOCAL-REHAB
,Vocal_Abuse_Weekly,QUES0140,VOCAL-REHAB
,Vocal_Abuse_Weekly,QUES0141,VOCAL-REHAB
,Vocal_Abuse_Weekly,QUES0142,VOCAL-REHAB
,Vocal_Abuse_Weekly,QUES0143,VOCAL-REHAB
,Vocal_Abuse_Weekly,QUES0144,VOCAL-REHAB
,Vocal_Abuse_Weekly,QUES0145,VOCAL-REHAB
,Vocal_Abuse_Weekly,QUES0146,VOCAL-REHAB
,Vocal_Abuse_Weekly,QUES0147,VOCAL-REHAB
,Vocal_Abuse_Weekly,QUES0148,VOCAL-REHAB
,Vocal_Abuse_Weekly,QUES0149,VOCAL-REHAB
,Vocal_Abuse_Weekly,QUES0150,VOCAL-REHAB
,Vocal_Abuse_Weekly,QUES0151,VOCAL-REHAB
,Vocal_Abuse_Weekly,QUES0152,VOCAL-REHAB
,Vocal_Abuse_Weekly,QUES0153,VOCAL-REHAB
,Vocal_Abuse_Weekly,QUES0154,VOCAL-REHAB
